;elix;domestic;constant;Source
01/01/2012 00:00;44.31;0.7414986436300308;1.0;69.64
01/01/2012 00:30;44.31;0.7414986436300308;1.0;69.64
01/01/2012 01:00;44.02;0.7414986436300308;1.0;69.68
01/01/2012 01:30;44.02;0.7414986436300308;1.0;69.68
01/01/2012 02:00;44.02;0.7414986436300308;1.0;69.68
01/01/2012 02:30;44.02;0.7414986436300308;1.0;69.68
01/01/2012 03:00;44.02;0.7414986436300308;1.0;70.37
01/01/2012 03:30;44.02;0.7414986436300308;1.0;70.37
01/01/2012 04:00;44.02;0.7080375135023218;1.0;70.37
01/01/2012 04:30;44.02;0.7080375135023218;1.0;70.37
01/01/2012 05:00;44.02;0.7080375135023218;1.0;70.33
01/01/2012 05:30;44.02;0.7080375135023218;1.0;70.33
01/01/2012 06:00;44.02;0.6859531676180339;1.0;70.33
01/01/2012 06:30;44.02;0.6859531676180339;1.0;70.33
01/01/2012 07:00;55.72;0.6859531676180339;1.0;70.33
01/01/2012 07:30;55.72;0.6859531676180339;1.0;70.33
01/01/2012 08:00;55.72;0.7340535421766154;1.0;70.33
01/01/2012 08:30;55.72;0.7340535421766154;1.0;70.33
01/01/2012 09:00;72.13;0.7340535421766154;1.0;69.42
01/01/2012 09:30;72.13;0.7340535421766154;1.0;69.42
01/01/2012 10:00;72.13;0.7737886342032699;1.0;69.42
01/01/2012 10:30;72.13;0.7737886342032699;1.0;69.42
01/01/2012 11:00;72.13;0.7737886342032699;1.0;70.33
01/01/2012 11:30;72.13;0.7737886342032699;1.0;70.33
01/01/2012 12:00;72.13;0.7528754278734519;1.0;70.33
01/01/2012 12:30;72.13;0.7528754278734519;1.0;70.33
01/01/2012 13:00;72.13;0.7528754278734519;1.0;70.33
01/01/2012 13:30;72.13;0.7528754278734519;1.0;70.33
01/01/2012 14:00;72.13;0.7457649377213136;1.0;70.33
01/01/2012 14:30;72.13;0.7457649377213136;1.0;70.33
01/01/2012 15:00;72.13;0.7457649377213136;1.0;70.33
01/01/2012 15:30;72.13;0.7457649377213136;1.0;70.33
01/01/2012 16:00;72.13;0.6273961898945432;1.0;70.33
01/01/2012 16:30;72.13;0.6273961898945432;1.0;70.33
01/01/2012 17:00;102.9;0.6273961898945432;1.0;70.29
01/01/2012 17:30;102.9;0.6273961898945432;1.0;70.29
01/01/2012 18:00;102.9;0.7340535421766154;1.0;70.29
01/01/2012 18:30;102.9;0.7340535421766154;1.0;70.29
01/01/2012 19:00;72.13;0.7340535421766154;1.0;70.33
01/01/2012 19:30;72.13;0.7340535421766154;1.0;70.33
01/01/2012 20:00;72.13;0.770442521190499;1.0;70.33
01/01/2012 20:30;72.13;0.770442521190499;1.0;70.33
01/01/2012 21:00;55.72;0.770442521190499;1.0;70.42
01/01/2012 21:30;55.72;0.770442521190499;1.0;70.42
01/01/2012 22:00;55.72;0.8030671230650154;1.0;70.42
01/01/2012 22:30;55.72;0.8030671230650154;1.0;70.42
01/01/2012 23:00;53.85;0.8030671230650154;1.0;69.64
01/01/2012 23:30;53.85;0.8030671230650154;1.0;69.64
02/01/2012 00:00;44.31;0.711117220568493;1.0;69.64
02/01/2012 00:30;44.31;0.711117220568493;1.0;69.64
02/01/2012 01:00;44.02;0.711117220568493;1.0;69.68
02/01/2012 01:30;44.02;0.711117220568493;1.0;69.68
02/01/2012 02:00;44.02;0.711117220568493;1.0;69.68
02/01/2012 02:30;44.02;0.711117220568493;1.0;69.68
02/01/2012 03:00;44.02;0.711117220568493;1.0;70.37
02/01/2012 03:30;44.02;0.711117220568493;1.0;70.37
02/01/2012 04:00;44.02;0.6302744207564959;1.0;70.37
02/01/2012 04:30;44.02;0.6302744207564959;1.0;70.37
02/01/2012 05:00;44.02;0.6302744207564959;1.0;70.33
02/01/2012 05:30;44.02;0.6302744207564959;1.0;70.33
02/01/2012 06:00;44.02;0.7255658691137036;1.0;70.33
02/01/2012 06:30;44.02;0.7255658691137036;1.0;70.33
02/01/2012 07:00;55.72;0.7255658691137036;1.0;70.33
02/01/2012 07:30;55.72;0.7255658691137036;1.0;70.33
02/01/2012 08:00;55.72;0.7616004504252526;1.0;70.33
02/01/2012 08:30;55.72;0.7616004504252526;1.0;70.33
02/01/2012 09:00;72.13;0.7616004504252526;1.0;69.42
02/01/2012 09:30;72.13;0.7616004504252526;1.0;69.42
02/01/2012 10:00;72.13;0.7833604632945456;1.0;69.42
02/01/2012 10:30;72.13;0.7833604632945456;1.0;69.42
02/01/2012 11:00;72.13;0.7833604632945456;1.0;70.33
02/01/2012 11:30;72.13;0.7833604632945456;1.0;70.33
02/01/2012 12:00;72.13;0.7363588354968729;1.0;70.33
02/01/2012 12:30;72.13;0.7363588354968729;1.0;70.33
02/01/2012 13:00;72.13;0.7363588354968729;1.0;70.33
02/01/2012 13:30;72.13;0.7363588354968729;1.0;70.33
02/01/2012 14:00;72.13;0.671078796888994;1.0;70.33
02/01/2012 14:30;72.13;0.671078796888994;1.0;70.33
02/01/2012 15:00;72.13;0.671078796888994;1.0;70.33
02/01/2012 15:30;72.13;0.671078796888994;1.0;70.33
02/01/2012 16:00;72.13;0.740014517658914;1.0;70.33
02/01/2012 16:30;72.13;0.740014517658914;1.0;70.33
02/01/2012 17:00;102.9;0.740014517658914;1.0;70.29
02/01/2012 17:30;102.9;0.740014517658914;1.0;70.29
02/01/2012 18:00;102.9;0.7072004182520203;1.0;70.29
02/01/2012 18:30;102.9;0.7072004182520203;1.0;70.29
02/01/2012 19:00;72.13;0.7072004182520203;1.0;70.33
02/01/2012 19:30;72.13;0.7072004182520203;1.0;70.33
02/01/2012 20:00;72.13;0.8412420975268646;1.0;70.33
02/01/2012 20:30;72.13;0.8412420975268646;1.0;70.33
02/01/2012 21:00;55.72;0.8412420975268646;1.0;70.42
02/01/2012 21:30;55.72;0.8412420975268646;1.0;70.42
02/01/2012 22:00;55.72;0.7367069957027815;1.0;70.42
