START_TIME;elix;Peak1;constant
01/01/2013 00:00;49.68;0.4;1
01/01/2013 00:30;49.68;0.4;1
01/01/2013 01:00;49.68;0.4;1
01/01/2013 01:30;49.68;0.4;1
01/01/2013 02:00;49.68;0.435;1
01/01/2013 02:30;49.68;0.435;1
01/01/2013 03:00;49.68;0.435;1
01/01/2013 03:30;49.68;0.435;1
01/01/2013 04:00;49.68;0.6025;1
01/01/2013 04:30;49.68;0.6025;1
01/01/2013 05:00;49.68;0.6025;1
01/01/2013 05:30;49.68;0.6025;1
01/01/2013 06:00;45.2325;1.625;1
01/01/2013 06:30;45.2325;1.625;1
01/01/2013 07:00;45.2325;1.625;1
01/01/2013 07:30;45.2325;1.625;1
01/01/2013 08:00;60.935;0.9375;1
01/01/2013 08:30;60.935;0.9375;1
01/01/2013 09:00;60.935;0.9375;1
01/01/2013 09:30;60.935;0.9375;1
01/01/2013 10:00;67.0425;0.7175;1
01/01/2013 10:30;67.0425;0.7175;1
01/01/2013 11:00;67.0425;0.7175;1
01/01/2013 11:30;67.0425;0.7175;1
01/01/2013 12:00;66.865;0.8025;1
01/01/2013 12:30;66.865;0.8025;1
01/01/2013 13:00;66.865;0.8025;1
01/01/2013 13:30;66.865;0.8025;1
01/01/2013 14:00;64.38;1.1375;1
01/01/2013 14:30;64.38;1.1375;1
01/01/2013 15:00;64.38;1.1375;1
01/01/2013 15:30;64.38;1.1375;1
01/01/2013 16:00;67.3925;1.4375;1
01/01/2013 16:30;67.3925;1.4375;1
01/01/2013 17:00;67.3925;1.4375;1
01/01/2013 17:30;67.3925;1.4375;1
01/01/2013 18:00;64.3225;1.875;1
01/01/2013 18:30;64.3225;1.875;1
01/01/2013 19:00;64.3225;1.875;1
01/01/2013 19:30;64.3225;1.875;1
01/01/2013 20:00;63.0125;1;1
01/01/2013 20:30;63.0125;1;1
01/01/2013 21:00;63.0125;1;1
01/01/2013 21:30;63.0125;1;1
01/01/2013 22:00;53.295;0.4375;1
01/01/2013 22:30;53.295;0.4375;1
01/01/2013 23:00;53.295;0.4375;1
01/01/2013 23:30;53.295;0.4375;1
02/01/2013 00:00;40.77;0.4;1
02/01/2013 00:30;40.77;0.4;1
02/01/2013 01:00;40.77;0.4;1
02/01/2013 01:30;40.77;0.4;1
02/01/2013 02:00;40.77;0.435;1
02/01/2013 02:30;40.77;0.435;1
02/01/2013 03:00;40.77;0.435;1
02/01/2013 03:30;40.77;0.435;1
02/01/2013 04:00;40.77;0.6025;1
02/01/2013 04:30;40.77;0.6025;1
02/01/2013 05:00;40.77;0.6025;1
02/01/2013 05:30;40.77;0.6025;1
02/01/2013 06:00;54.23;1.625;1
02/01/2013 06:30;54.23;1.625;1
02/01/2013 07:00;54.23;1.625;1
02/01/2013 07:30;54.23;1.625;1
02/01/2013 08:00;66.045;0.9375;1
02/01/2013 08:30;66.045;0.9375;1
02/01/2013 09:00;66.045;0.9375;1
02/01/2013 09:30;66.045;0.9375;1
02/01/2013 10:00;74.485;0.7175;1
02/01/2013 10:30;74.485;0.7175;1
02/01/2013 11:00;74.485;0.7175;1
02/01/2013 11:30;74.485;0.7175;1
